iter	Passed	Remaining
610	8590	5469
611	8602	5453
612	8612	5437
613	8626	5422
614	8636	5406
615	8647	5390
616	8657	5374
617	8668	5358
618	8678	5341
619	8689	5325
620	8700	5310
621	8711	5294
622	8723	5278
623	8735	5263
624	8745	5247
625	8756	5231
626	8767	5215
627	8778	5200
628	8789	5184
629	8800	5168
630	8811	5152
631	8822	5136
632	8833	5121
633	8844	5105
634	8854	5089
635	8865	5073
636	8875	5057
637	8886	5042
638	8897	5026
639	8908	5010
640	8919	4995
641	8929	4979
642	8939	4963
643	8950	4947
644	8961	4932
645	8972	4917
646	8983	4901
647	8994	4885
648	9004	4869
649	9015	4854
650	9026	4839
651	9038	4824
652	9049	4808
653	9059	4793
654	9070	4777
655	9082	4762
656	9093	4747
657	9104	4732
658	9115	4716
659	9125	4701
660	9136	4685
661	9147	4670
662	9158	4655
663	9169	4640
664	9180	4624
665	9190	4609
666	9201	4593
667	9212	4578
668	9222	4563
669	9233	4548
670	9244	4532
671	9255	4517
672	9266	4502
673	9277	4487
674	9289	4472
675	9300	4457
676	9311	4442
677	9323	4427
678	9334	4412
679	9346	4398
680	9357	4383
681	9369	4368
682	9380	4353
683	9392	4338
684	9402	4323
685	9414	4309
686	9425	4294
687	9436	4279
688	9446	4264
689	9457	4248
690	9468	4234
691	9480	4219
692	9491	4204
693	9501	4189
694	9512	4174
695	9523	4159
696	9534	4144
697	9544	4129
698	9555	4114
699	9567	4100
700	9577	4085
701	9588	4070
702	9599	4055
703	9610	4040
704	9620	4025
705	9632	4011
706	9643	3996
707	9655	3982
708	9666	3967
709	9677	3952
710	9688	3938
711	9699	3923
712	9710	3908
713	9721	3894
714	9732	3879
715	9743	3864
716	9754	3850
717	9766	3836
718	9778	3821
719	9789	3807
720	9800	3792
721	9811	3777
722	9821	3762
723	9833	3748
724	9845	3734
725	9857	3720
726	9868	3705
727	9879	3691
728	9890	3676
729	9901	3662
730	9912	3647
731	9923	3633
732	9933	3618
733	9945	3604
734	9956	3589
735	9968	3575
736	9979	3561
737	9990	3546
738	10001	3532
739	10012	3518
740	10023	3503
741	10033	3488
742	10045	3474
743	10056	3460
744	10067	3445
745	10079	3431
746	10089	3417
747	10100	3402
748	10112	3388
749	10123	3374
750	10134	3360
751	10145	3345
752	10155	3331
753	10166	3317
754	10177	3302
755	10188	3288
756	10199	3274
757	10210	3259
758	10220	3245
759	10231	3230
760	10242	3216
761	10253	3202
762	10264	3188
763	10275	3174
764	10287	3160
765	10298	3145
766	10308	3131
767	10319	3117
768	10330	3103
769	10341	3088
770	10352	3074
771	10363	3060
772	10375	3046
773	10386	3032
774	10397	3018
775	10409	3004
776	10420	2990
777	10431	2976
778	10442	2962
779	10453	2948
780	10464	2934
781	10474	2920
782	10485	2905
783	10496	2891
784	10507	2877
785	10518	2863
786	10529	2849
787	10540	2835
788	10551	2821
789	10562	2807
790	10572	2793
791	10584	2779
792	10595	2765
793	10606	2751
794	10617	2737
795	10628	2723
796	10639	2709
797	10650	2695
798	10660	2681
799	10671	2667
800	10682	2654
801	10693	2640
802	10704	2626
803	10715	2612
804	10726	2598
805	10737	2584
806	10748	2570
807	10759	2556
808	10770	2542
809	10780	2528
810	10791	2514
811	10802	2501
812	10814	2487
813	10824	2473
814	10835	2459
815	10846	2445
816	10858	2432
817	10869	2418
818	10879	2404
819	10891	2390
820	10902	2377
821	10912	2363
822	10923	2349
823	10934	2335
824	10945	2321
825	10956	2308
826	10967	2294
827	10978	2280
828	10988	2266
829	11000	2253
830	11011	2239
831	11021	2225
832	11032	2211
833	11044	2198
834	11055	2184
835	11066	2170
836	11076	2157
837	11087	2143
838	11098	2129
839	11109	2116
840	11119	2102
841	11130	2088
842	11141	2074
843	11152	2061
844	11163	2047
845	11173	2034
846	11184	2020
847	11196	2006
848	11207	1993
849	11218	1979
850	11229	1966
851	11240	1952
852	11251	1938
853	11261	1925
854	11272	1911
855	11283	1898
856	11294	1884
857	11305	1871
858	11316	1857
859	11327	1844
860	11339	1830
861	11350	1817
862	11361	1803
863	11372	1790
864	11383	1776
865	11394	1763
866	11405	1749
867	11417	1736
868	11428	1722
869	11440	1709
870	11451	1696
871	11462	1682
872	11473	1669
873	11484	1655
874	11495	1642
875	11506	1628
876	11518	1615
877	11528	1601
878	11539	1588
879	11550	1575
880	11561	1561
881	11572	1548
882	11583	1534
883	11594	1521
884	11604	1507
885	11616	1494
886	11628	1481
887	11639	1468
888	11650	1454
889	11661	1441
890	11672	1427
891	11682	1414
892	11693	1401
893	11703	1387
894	11714	1374
895	11725	1361
896	11737	1347
897	11747	1334
898	11757	1320
899	11768	1307
900	11779	1294
901	11790	1281
902	11801	1267
903	11813	1254
904	11825	1241
905	11836	1228
906	11847	1214
907	11858	1201
908	11869	1188
909	11880	1174
910	11891	1161
911	11901	1148
912	11912	1135
913	11923	1121
914	11934	1108
915	11945	1095
916	11956	1082
917	11967	1068
918	11978	1055
919	11989	1042
920	12000	1029
921	12010	1016
922	12021	1002
923	12031	989
924	12042	976
925	12053	963
926	12065	950
927	12075	936
928	12086	923
929	12097	910
930	12107	897
931	12118	884
932	12130	871
933	12142	858
934	12153	844
935	12164	831
936	12175	818
937	12186	805
938	12196	792
939	12207	779
940	12218	766
941	12229	752
942	12239	739
943	12250	726
944	12261	713
945	12271	700
946	12282	687
947	12293	674
948	12304	661
949	12315	648
950	12326	635
951	12338	622
952	12348	609
953	12360	595
954	12372	582
955	12382	569
956	12394	556
957	12405	543
958	12415	530
959	12426	517
960	12438	504
961	12450	491
962	12461	478
963	12472	465
964	12483	452
965	12494	439
966	12504	426
967	12515	413
968	12526	400
969	12537	387
970	12547	374
971	12558	361
972	12569	348
973	12580	335
974	12591	322
975	12602	309
976	12613	296
977	12624	283
978	12636	271
979	12646	258
980	12657	245
981	12668	232
982	12679	219
983	12690	206
984	12700	193
985	12711	180
986	12722	167
987	12734	154
988	12745	141
989	12756	128
990	12767	115
991	12778	103
992	12788	90
993	12799	77
994	12810	64
995	12821	51
996	12832	38
997	12843	25
998	12854	12
999	12866	0
